vehicle_id,timestamp,test,location,velocity,calculated_speed,risk_level,anomalies,lidar_points,camera_frames,imu_data,gps_data,weather_conditions,system_status
AV_005,1753463453.869576,,"{'latitude': 37.784109880165076, 'longitude': -122.42342155286096}","{'x': 3.0542782872811114, 'y': 16.502560538059715, 'z': 0}",18.493553335308345,medium,[],,,,,,
AV_004,1753463453.869576,,"{'latitude': 37.77328321201812, 'longitude': -122.42044555714196}","{'x': 9.101206080175931, 'y': 15.501949027552609, 'z': 0}",12.720497157589083,medium,[],,,,,,
AV_003,1753463453.869576,,"{'latitude': 37.769897654674665, 'longitude': -122.42742953541995}","{'x': 9.985246458060956, 'y': 19.655559839713096, 'z': 0}",26.382221824906107,low,[],,,,,,
AV_002,1753463453.869576,,"{'latitude': 37.77768760693434, 'longitude': -122.41146554487875}","{'x': 2.2513501933981006, 'y': 10.889854871953117, 'z': 0}",14.008122736572142,medium,[],,,,,,
AV_001,1753463453.869576,,"{'latitude': 37.773050456913644, 'longitude': -122.41884640066847}","{'x': 17.689136585767592, 'y': 10.069803784460415, 'z': 0}",25.99310103928528,high,[],,,,,,
AV_005,1753463452.869576,,"{'latitude': 37.778945231941314, 'longitude': -122.42631793282052}","{'x': 10.004391428325587, 'y': 18.1943077979198, 'z': 0}",16.55165376613683,low,[],,,,,,
AV_004,1753463452.869576,,"{'latitude': 37.764942212686506, 'longitude': -122.41815881243375}","{'x': 14.549290532735137, 'y': 18.359662922109237, 'z': 0}",28.002198766936615,low,[],,,,,,
AV_003,1753463452.869576,,"{'latitude': 37.770851355037784, 'longitude': -122.41604099892852}","{'x': 12.377234659411716, 'y': 9.315797358640918, 'z': 0}",15.648178152668478,high,[],,,,,,
AV_002,1753463452.869576,,"{'latitude': 37.76836304899747, 'longitude': -122.41827044184296}","{'x': 18.43673519396799, 'y': 1.1052920885626771, 'z': 0}",20.778618305708257,high,[],,,,,,
AV_001,1753463452.869576,,"{'latitude': 37.78237818512552, 'longitude': -122.4107166010614}","{'x': 11.66041037471109, 'y': 4.2471393523130185, 'z': 0}",16.03038019347253,high,[],,,,,,
AV_005,1753463451.869576,,"{'latitude': 37.77851589900753, 'longitude': -122.41356788119151}","{'x': 0.5312867447277503, 'y': 15.13129560946328, 'z': 0}",23.11412328108645,medium,[],,,,,,
AV_004,1753463451.869576,,"{'latitude': 37.780058859576805, 'longitude': -122.41369573099546}","{'x': 18.64763379913058, 'y': 18.962564234527928, 'z': 0}",25.8227056554749,high,[],,,,,,
AV_003,1753463451.869576,,"{'latitude': 37.77907490277797, 'longitude': -122.41118385577538}","{'x': 11.692199728207664, 'y': 7.408560343120554, 'z': 0}",10.989724914942451,high,[],,,,,,
AV_002,1753463451.869576,,"{'latitude': 37.765827958759154, 'longitude': -122.41726851462613}","{'x': 6.221916587436742, 'y': 0.33903814021499556, 'z': 0}",22.357511531735703,medium,[],,,,,,
AV_001,1753463451.869576,,"{'latitude': 37.77749279278703, 'longitude': -122.42381084666528}","{'x': 8.921702381230638, 'y': 3.9853107218588857, 'z': 0}",26.697371060315245,medium,[],,,,,,
AV_005,1753463450.869576,,"{'latitude': 37.764957064270035, 'longitude': -122.41632366148247}","{'x': 10.63823259161551, 'y': 8.839549762470718, 'z': 0}",26.350772533508497,high,[],,,,,,
AV_004,1753463450.869576,,"{'latitude': 37.77486464876287, 'longitude': -122.41540026512305}","{'x': 11.51930912491788, 'y': 14.331361903542865, 'z': 0}",28.630903956907026,high,[],,,,,,
AV_003,1753463450.869576,,"{'latitude': 37.776979861921056, 'longitude': -122.42141491369098}","{'x': 9.620607337384186, 'y': 4.950114687070386, 'z': 0}",21.114317317443867,high,[],,,,,,
AV_002,1753463450.869576,,"{'latitude': 37.784773461182645, 'longitude': -122.41291131674473}","{'x': 3.1560535060928907, 'y': 12.434309844470057, 'z': 0}",20.557488122521605,low,[],,,,,,
AV_001,1753463450.869576,,"{'latitude': 37.76548228649966, 'longitude': -122.41605430989893}","{'x': 0.6629349570987819, 'y': 10.035565865028333, 'z': 0}",18.07258771271827,medium,[],,,,,,
AV_005,1753463449.869576,,"{'latitude': 37.781449528296235, 'longitude': -122.41073423001873}","{'x': 14.280543489795104, 'y': 0.0177925371956289, 'z': 0}",26.015431759827916,high,[],,,,,,
AV_004,1753463449.869576,,"{'latitude': 37.78050881132713, 'longitude': -122.41802546212804}","{'x': 9.012973465713369, 'y': 10.859674945711618, 'z': 0}",27.03734995440683,medium,[],,,,,,
AV_003,1753463449.869576,,"{'latitude': 37.77040781291019, 'longitude': -122.42686701331925}","{'x': 9.13815286635426, 'y': 9.277161082988876, 'z': 0}",28.934434348394657,medium,[],,,,,,
AV_002,1753463449.869576,,"{'latitude': 37.78077047937987, 'longitude': -122.42765727833297}","{'x': 6.021211643676196, 'y': 16.463406479340964, 'z': 0}",11.59721458040562,medium,[],,,,,,
AV_001,1753463449.869576,,"{'latitude': 37.771668664209315, 'longitude': -122.41597438621972}","{'x': 11.478526842767415, 'y': 13.677107751957449, 'z': 0}",15.633508961760484,low,[],,,,,,
AV_005,1753463448.869576,,"{'latitude': 37.78324132118805, 'longitude': -122.41822156238702}","{'x': 3.914128568565176, 'y': 9.86614663293981, 'z': 0}",11.443234921617663,medium,[],,,,,,
AV_004,1753463448.869576,,"{'latitude': 37.78138237995497, 'longitude': -122.41676932016041}","{'x': 18.633134494188173, 'y': 2.7704846834343866, 'z': 0}",11.965654390134283,low,[],,,,,,
AV_003,1753463448.869576,,"{'latitude': 37.78066379396247, 'longitude': -122.41005175822072}","{'x': 7.158322724378234, 'y': 17.734870847741963, 'z': 0}",21.606685968591556,medium,[],,,,,,
AV_002,1753463448.869576,,"{'latitude': 37.77206549832647, 'longitude': -122.42882561042954}","{'x': 11.964676007863877, 'y': 4.55387193100915, 'z': 0}",15.614025880160781,low,[],,,,,,
AV_001,1753463448.869576,,"{'latitude': 37.7679557841818, 'longitude': -122.41661284053035}","{'x': 3.635370032663976, 'y': 8.923893011574368, 'z': 0}",25.931024668600536,high,[],,,,,,
AV_005,1753463447.869576,,"{'latitude': 37.77412216754615, 'longitude': -122.41273676360018}","{'x': 8.247181599765462, 'y': 8.636041378382426, 'z': 0}",15.702072647541737,medium,[],,,,,,
AV_004,1753463447.869576,,"{'latitude': 37.76912272738879, 'longitude': -122.41277698043776}","{'x': 3.9116774594314863, 'y': 13.561215755557818, 'z': 0}",10.660989088503367,medium,[],,,,,,
AV_003,1753463447.869576,,"{'latitude': 37.78481146573093, 'longitude': -122.41587937165156}","{'x': 19.06535041194182, 'y': 19.01567520276125, 'z': 0}",29.349275996627263,high,[],,,,,,
AV_002,1753463447.869576,,"{'latitude': 37.77881954023041, 'longitude': -122.4115254308586}","{'x': 12.255251686573175, 'y': 16.123078458058814, 'z': 0}",26.40002103932415,low,[],,,,,,
AV_001,1753463447.869576,,"{'latitude': 37.77337623801244, 'longitude': -122.41476589868837}","{'x': 12.216207696165712, 'y': 10.477609808796924, 'z': 0}",20.191140018479825,low,[],,,,,,
AV_005,1753463446.869576,,"{'latitude': 37.771879479435526, 'longitude': -122.4291863110137}","{'x': 4.082496764416859, 'y': 0.1555708874700712, 'z': 0}",10.799086270228022,high,[],,,,,,
AV_004,1753463446.869576,,"{'latitude': 37.767908429117426, 'longitude': -122.42841858511854}","{'x': 10.817541317122501, 'y': 14.151805968378984, 'z': 0}",21.2960892950229,high,[],,,,,,
AV_003,1753463446.869576,,"{'latitude': 37.766241637352714, 'longitude': -122.42475130471414}","{'x': 9.806783479212143, 'y': 5.543439877320225, 'z': 0}",17.936305814822912,high,[],,,,,,
AV_002,1753463446.869576,,"{'latitude': 37.77153703031051, 'longitude': -122.42554738365432}","{'x': 15.438916133798442, 'y': 0.24868473942117442, 'z': 0}",23.20765171978136,high,[],,,,,,
AV_001,1753463446.869576,,"{'latitude': 37.77013917759205, 'longitude': -122.4169505500942}","{'x': 10.581855802021822, 'y': 19.573665526133464, 'z': 0}",18.11695058724608,medium,[],,,,,,
AV_005,1753463445.869576,,"{'latitude': 37.78212201215291, 'longitude': -122.41179378962642}","{'x': 18.52055330702334, 'y': 9.025733692839868, 'z': 0}",27.572651144263265,low,[],,,,,,
AV_004,1753463445.869576,,"{'latitude': 37.77015578931275, 'longitude': -122.41652831524321}","{'x': 11.526398821468986, 'y': 8.852807151903894, 'z': 0}",20.409294149015878,medium,[],,,,,,
AV_003,1753463445.869576,,"{'latitude': 37.77140451809647, 'longitude': -122.41466473158785}","{'x': 13.920988722580024, 'y': 10.96815356766087, 'z': 0}",29.534536185158345,high,[],,,,,,
AV_002,1753463445.869576,,"{'latitude': 37.78280790824388, 'longitude': -122.41309155041462}","{'x': 8.8619112192073, 'y': 7.633219400982658, 'z': 0}",21.13037032589934,low,[],,,,,,
AV_001,1753463445.869576,,"{'latitude': 37.775190180820545, 'longitude': -122.42806029977469}","{'x': 8.2619653869723, 'y': 4.320733764928395, 'z': 0}",25.137498852119375,low,[],,,,,,
AV_005,1753463444.869576,,"{'latitude': 37.773634242093344, 'longitude': -122.41173835845318}","{'x': 12.111137211466794, 'y': 5.928989159159748, 'z': 0}",22.650304209615147,low,[],,,,,,
AV_004,1753463444.869576,,"{'latitude': 37.78415389549306, 'longitude': -122.4192789307575}","{'x': 4.425760013991409, 'y': 2.257827738458802, 'z': 0}",26.623034956523743,high,[],,,,,,
AV_003,1753463444.869576,,"{'latitude': 37.776787196243006, 'longitude': -122.42125954460577}","{'x': 1.7396904650536693, 'y': 15.39760015573042, 'z': 0}",21.414742060175936,medium,[],,,,,,
AV_002,1753463444.869576,,"{'latitude': 37.78020619671245, 'longitude': -122.41194765355635}","{'x': 18.784781367821488, 'y': 8.377805168650937, 'z': 0}",25.287401550645495,medium,[],,,,,,
AV_001,1753463444.869576,,"{'latitude': 37.777398154676554, 'longitude': -122.41686042476778}","{'x': 18.806124339696492, 'y': 17.850836416417344, 'z': 0}",13.36628060133499,low,[],,,,,,
AV_005,1753463443.869576,,"{'latitude': 37.774626974312575, 'longitude': -122.42232694152825}","{'x': 8.554057080933287, 'y': 3.8617140661031546, 'z': 0}",12.653656081819225,high,[],,,,,,
AV_004,1753463443.869576,,"{'latitude': 37.78291382386282, 'longitude': -122.42043417943677}","{'x': 1.5426863985001504, 'y': 3.372489643599801, 'z': 0}",26.60366382533456,low,[],,,,,,
AV_003,1753463443.869576,,"{'latitude': 37.768913852393254, 'longitude': -122.41036489645657}","{'x': 1.2540703216382654, 'y': 12.357136277351202, 'z': 0}",11.00514233975238,medium,[],,,,,,
AV_002,1753463443.869576,,"{'latitude': 37.766509239848546, 'longitude': -122.41002215108875}","{'x': 15.6412280683858, 'y': 10.313597923597904, 'z': 0}",29.22846966261205,low,[],,,,,,
AV_001,1753463443.869576,,"{'latitude': 37.784176526225906, 'longitude': -122.42796734567473}","{'x': 3.2366172759866574, 'y': 2.4412936648304195, 'z': 0}",25.454534722068203,high,[],,,,,,
AV_005,1753463442.869576,,"{'latitude': 37.78189165821719, 'longitude': -122.42081466817106}","{'x': 3.487028332216826, 'y': 8.881709276277824, 'z': 0}",21.84734711255981,medium,[],,,,,,
AV_004,1753463442.869576,,"{'latitude': 37.77031479458488, 'longitude': -122.42467455233816}","{'x': 9.286418184452668, 'y': 6.22370553004102, 'z': 0}",11.002132252667487,high,[],,,,,,
AV_003,1753463442.869576,,"{'latitude': 37.781655648108675, 'longitude': -122.41671473766642}","{'x': 16.618685754659214, 'y': 0.40904440785630936, 'z': 0}",28.905400248263664,medium,[],,,,,,
AV_002,1753463442.869576,,"{'latitude': 37.76917403270417, 'longitude': -122.42031360896759}","{'x': 16.514254520853108, 'y': 9.591719851705175, 'z': 0}",20.874251142211712,low,[],,,,,,
AV_001,1753463442.869576,,"{'latitude': 37.783372680262566, 'longitude': -122.41651599553516}","{'x': 16.703973032759205, 'y': 10.418944334235938, 'z': 0}",10.861677915374335,high,[],,,,,,
AV_005,1753463441.869576,,"{'latitude': 37.76552672115627, 'longitude': -122.41371988094261}","{'x': 8.731379118942264, 'y': 15.521805058713856, 'z': 0}",16.796300585322346,low,[],,,,,,
AV_004,1753463441.869576,,"{'latitude': 37.774723840859956, 'longitude': -122.41240027721719}","{'x': 4.8548211514939155, 'y': 18.85667986909218, 'z': 0}",18.07184566027412,low,[],,,,,,
AV_003,1753463441.869576,,"{'latitude': 37.771806104907014, 'longitude': -122.42863900028357}","{'x': 12.15836919604998, 'y': 16.314359476544634, 'z': 0}",20.982971299819027,medium,[],,,,,,
AV_002,1753463441.869576,,"{'latitude': 37.77331470293062, 'longitude': -122.42371931580686}","{'x': 7.675158304433296, 'y': 10.8122984726468, 'z': 0}",16.57696820022385,low,[],,,,,,
AV_001,1753463441.869576,,"{'latitude': 37.768785580764074, 'longitude': -122.41901881429393}","{'x': 3.631698353445534, 'y': 14.526640991689604, 'z': 0}",10.866032473687529,medium,[],,,,,,
AV_005,1753463440.869576,,"{'latitude': 37.78056548958936, 'longitude': -122.4274813569688}","{'x': 5.268618060914991, 'y': 19.72100688571289, 'z': 0}",14.750737548799822,high,[],,,,,,
AV_004,1753463440.869576,,"{'latitude': 37.770264742625386, 'longitude': -122.41135782015618}","{'x': 13.41265594910604, 'y': 4.620990718273486, 'z': 0}",22.740662056449963,high,[],,,,,,
AV_003,1753463440.869576,,"{'latitude': 37.77702304700454, 'longitude': -122.42647897449999}","{'x': 0.080981189154965, 'y': 18.051826322486807, 'z': 0}",22.97349267797118,high,[],,,,,,
AV_002,1753463440.869576,,"{'latitude': 37.77852523140716, 'longitude': -122.41718810002646}","{'x': 19.131402746365488, 'y': 16.294573659702166, 'z': 0}",20.928542310422685,medium,[],,,,,,
AV_001,1753463440.869576,,"{'latitude': 37.77058214015113, 'longitude': -122.41427058596172}","{'x': 12.666757520388343, 'y': 13.001641446403394, 'z': 0}",13.666794649238954,medium,[],,,,,,
AV_005,1753463439.869576,,"{'latitude': 37.77789293780878, 'longitude': -122.42396679248358}","{'x': 9.834751218176018, 'y': 8.085733110504096, 'z': 0}",23.87916912351101,low,[],,,,,,
AV_004,1753463439.869576,,"{'latitude': 37.76816376225105, 'longitude': -122.41195721212225}","{'x': 0.033968209193491194, 'y': 8.31745234733111, 'z': 0}",18.735726547060953,medium,[],,,,,,
AV_003,1753463439.869576,,"{'latitude': 37.76768754389122, 'longitude': -122.41939320898977}","{'x': 2.7902824669350657, 'y': 6.920147491408455, 'z': 0}",17.02892618642666,low,[],,,,,,
AV_002,1753463439.869576,,"{'latitude': 37.7835308376906, 'longitude': -122.417023820068}","{'x': 15.269030902286683, 'y': 6.360624608983956, 'z': 0}",28.616004856674962,medium,[],,,,,,
AV_001,1753463439.869576,,"{'latitude': 37.78035463011758, 'longitude': -122.41201208081542}","{'x': 1.8583592869256926, 'y': 16.984574981346086, 'z': 0}",26.32846658805602,low,[],,,,,,
AV_005,1753463438.869576,,"{'latitude': 37.78214667562355, 'longitude': -122.40946691986065}","{'x': 17.459983510625158, 'y': 18.045044883161353, 'z': 0}",16.32948610418955,low,[],,,,,,
AV_004,1753463438.869576,,"{'latitude': 37.777536154589605, 'longitude': -122.42449645476827}","{'x': 4.203903356928771, 'y': 0.09384987701159808, 'z': 0}",23.802360729299423,high,[],,,,,,
AV_003,1753463438.869576,,"{'latitude': 37.77506651833989, 'longitude': -122.42175985222214}","{'x': 10.27575197583647, 'y': 10.305373100827547, 'z': 0}",25.96590721354438,medium,[],,,,,,
AV_002,1753463438.869576,,"{'latitude': 37.77341671338971, 'longitude': -122.42245665951597}","{'x': 15.93820690298367, 'y': 0.7731680867892265, 'z': 0}",25.364620606271707,medium,[],,,,,,
AV_001,1753463438.869576,,"{'latitude': 37.7747151602358, 'longitude': -122.4141128887774}","{'x': 8.102133705335214, 'y': 4.925774942185949, 'z': 0}",20.370686516091236,low,[],,,,,,
AV_005,1753463437.869576,,"{'latitude': 37.77680961537638, 'longitude': -122.4187211645596}","{'x': 16.01758761110436, 'y': 17.0868752947252, 'z': 0}",22.618432554094472,medium,[],,,,,,
AV_004,1753463437.869576,,"{'latitude': 37.78366905760893, 'longitude': -122.42183875573434}","{'x': 16.115705664490942, 'y': 16.82717906671572, 'z': 0}",29.26036026282105,low,[],,,,,,
AV_003,1753463437.869576,,"{'latitude': 37.77279957884218, 'longitude': -122.42579999609357}","{'x': 15.898028448105045, 'y': 14.60093000910009, 'z': 0}",18.727943915053963,low,[],,,,,,
AV_002,1753463437.869576,,"{'latitude': 37.765175338967815, 'longitude': -122.42245471419096}","{'x': 17.001475493475187, 'y': 0.05645978202327484, 'z': 0}",26.900806902105497,low,[],,,,,,
AV_001,1753463437.869576,,"{'latitude': 37.775452809565074, 'longitude': -122.42541830143287}","{'x': 12.056611277905757, 'y': 12.720887669890491, 'z': 0}",21.011593045459627,medium,[],,,,,,
AV_005,1753463436.869576,,"{'latitude': 37.78082338449368, 'longitude': -122.41067182289301}","{'x': 15.522521672420469, 'y': 11.150684764003483, 'z': 0}",27.78543772824092,high,[],,,,,,
AV_004,1753463436.869576,,"{'latitude': 37.780464562041594, 'longitude': -122.42099299285682}","{'x': 9.187207018774426, 'y': 16.11267962948126, 'z': 0}",21.26432814003904,high,[],,,,,,
AV_003,1753463436.869576,,"{'latitude': 37.769068976917886, 'longitude': -122.41742194142373}","{'x': 0.18464333899484098, 'y': 11.1706899665141, 'z': 0}",28.62723249994586,low,[],,,,,,
AV_002,1753463436.869576,,"{'latitude': 37.77319511895644, 'longitude': -122.42639918975355}","{'x': 17.871666170542518, 'y': 11.135529193937774, 'z': 0}",14.795915154406794,high,[],,,,,,
AV_001,1753463436.869576,,"{'latitude': 37.76630996459454, 'longitude': -122.4276384708656}","{'x': 19.115837008434383, 'y': 2.9818311782057116, 'z': 0}",29.43951532322054,medium,[],,,,,,
AV_005,1753463435.869576,,"{'latitude': 37.77670351626923, 'longitude': -122.4201378890773}","{'x': 18.017661981092765, 'y': 14.443249828982763, 'z': 0}",18.62367114021723,high,[],,,,,,
AV_004,1753463435.869576,,"{'latitude': 37.7847185260347, 'longitude': -122.41265574218441}","{'x': 4.017742131370412, 'y': 13.987603877885551, 'z': 0}",13.026716699677536,high,[],,,,,,
AV_003,1753463435.869576,,"{'latitude': 37.76967296864606, 'longitude': -122.42286126210058}","{'x': 3.9456813132528556, 'y': 6.669394913185826, 'z': 0}",21.813713517633822,high,[],,,,,,
AV_002,1753463435.869576,,"{'latitude': 37.77436566743943, 'longitude': -122.41194406161499}","{'x': 4.2598047564651464, 'y': 18.72003770128829, 'z': 0}",25.588871754188055,low,[],,,,,,
AV_001,1753463435.869576,,"{'latitude': 37.7787177552193, 'longitude': -122.41408824763552}","{'x': 5.485569488847957, 'y': 2.7641408573672344, 'z': 0}",21.620464924944088,low,[],,,,,,
AV_005,1753463434.869576,,"{'latitude': 37.774465746831105, 'longitude': -122.41914360299683}","{'x': 7.951473760847536, 'y': 9.522990768771663, 'z': 0}",11.737662868013107,low,[],,,,,,
AV_004,1753463434.869576,,"{'latitude': 37.78069226779615, 'longitude': -122.41816669489579}","{'x': 14.98090013165972, 'y': 1.6641026386394353, 'z': 0}",22.29039526327376,low,[],,,,,,
AV_003,1753463434.869576,,"{'latitude': 37.77109093051031, 'longitude': -122.4243793054098}","{'x': 10.014861977650021, 'y': 4.354813707849862, 'z': 0}",26.898931803263068,high,[],,,,,,
AV_002,1753463434.869576,,"{'latitude': 37.78178123031006, 'longitude': -122.42313221451506}","{'x': 16.516063997614, 'y': 16.600023123504403, 'z': 0}",26.21329857879486,high,[],,,,,,
AV_001,1753463434.869576,,"{'latitude': 37.773886618317846, 'longitude': -122.428125174156}","{'x': 4.7993406605702145, 'y': 7.222293572319205, 'z': 0}",26.985778096390874,high,[],,,,,,
AV_005,1753463433.869576,,"{'latitude': 37.78364774614118, 'longitude': -122.42843225907917}","{'x': 3.9812676504188205, 'y': 1.648757781232657, 'z': 0}",24.749731614046624,medium,[],,,,,,
AV_004,1753463433.869576,,"{'latitude': 37.784311700237616, 'longitude': -122.42307932865599}","{'x': 19.76442017953745, 'y': 16.406881444696552, 'z': 0}",29.94351164453146,medium,[],,,,,,
AV_003,1753463433.869576,,"{'latitude': 37.778803593123065, 'longitude': -122.4094470939607}","{'x': 14.016224045702081, 'y': 19.39526025532374, 'z': 0}",28.361143234829427,high,[],,,,,,
AV_002,1753463433.869576,,"{'latitude': 37.77084821332644, 'longitude': -122.4238946905659}","{'x': 0.4348284467166863, 'y': 1.6984379175734121, 'z': 0}",18.989780487804936,medium,[],,,,,,
AV_001,1753463433.869576,,"{'latitude': 37.77151037542368, 'longitude': -122.4193042699739}","{'x': 7.133951028216741, 'y': 9.308504595435005, 'z': 0}",11.434488323172516,high,[],,,,,,
AV_005,1753463432.869576,,"{'latitude': 37.774070397002646, 'longitude': -122.42284017174215}","{'x': 11.845244877796492, 'y': 5.222791929034621, 'z': 0}",29.131968596386926,low,[],,,,,,
AV_004,1753463432.869576,,"{'latitude': 37.77442095607369, 'longitude': -122.42508560251433}","{'x': 15.850733518487878, 'y': 3.146504434929396, 'z': 0}",17.527891478413178,medium,[],,,,,,
AV_003,1753463432.869576,,"{'latitude': 37.773250573532536, 'longitude': -122.42738775582215}","{'x': 11.56743238101803, 'y': 9.331928733420053, 'z': 0}",11.369623355281222,high,[],,,,,,
AV_002,1753463432.869576,,"{'latitude': 37.76614546419252, 'longitude': -122.4283471717648}","{'x': 6.6163085439049985, 'y': 3.363660990015025, 'z': 0}",24.55546739968571,high,[],,,,,,
AV_001,1753463432.869576,,"{'latitude': 37.77366233006822, 'longitude': -122.42659060930178}","{'x': 6.576026717544079, 'y': 3.8651727456420826, 'z': 0}",22.26469696827986,medium,[],,,,,,
AV_005,1753463431.869576,,"{'latitude': 37.76703005355241, 'longitude': -122.42843841085318}","{'x': 19.402041787392633, 'y': 11.677024062200104, 'z': 0}",14.816279518377232,low,[],,,,,,
AV_004,1753463431.869576,,"{'latitude': 37.77658756671858, 'longitude': -122.42085670128071}","{'x': 15.537262109908053, 'y': 2.6451076575404486, 'z': 0}",26.751460655965136,low,[],,,,,,
AV_003,1753463431.869576,,"{'latitude': 37.778454527673205, 'longitude': -122.4146336905955}","{'x': 18.666655822983454, 'y': 13.544776841564683, 'z': 0}",22.273751335647333,medium,[],,,,,,
AV_002,1753463431.869576,,"{'latitude': 37.771253092102356, 'longitude': -122.42426988365717}","{'x': 18.17433286798468, 'y': 16.52965190458722, 'z': 0}",12.207907693770084,low,[],,,,,,
AV_001,1753463431.869576,,"{'latitude': 37.77702622156675, 'longitude': -122.41960524998552}","{'x': 3.1670085523542935, 'y': 2.3015823687589987, 'z': 0}",12.385625922546597,high,[],,,,,,
AV_005,1753463430.869576,,"{'latitude': 37.775671712938575, 'longitude': -122.423330956939}","{'x': 17.39717451618897, 'y': 5.383773329863841, 'z': 0}",29.711991721039865,high,[],,,,,,
AV_004,1753463430.869576,,"{'latitude': 37.76645863854475, 'longitude': -122.41180696007108}","{'x': 10.166924577419326, 'y': 14.840087731112737, 'z': 0}",13.163378838703432,medium,[],,,,,,
AV_003,1753463430.869576,,"{'latitude': 37.78296905068532, 'longitude': -122.41051630916498}","{'x': 17.727189335167783, 'y': 5.955735625453322, 'z': 0}",11.393638040958596,high,[],,,,,,
AV_002,1753463430.869576,,"{'latitude': 37.77051753952182, 'longitude': -122.41403746396611}","{'x': 12.630252447114337, 'y': 15.30594374133354, 'z': 0}",25.940242490887293,high,[],,,,,,
AV_001,1753463430.869576,,"{'latitude': 37.77606565462572, 'longitude': -122.42493394314664}","{'x': 3.6914767115490044, 'y': 1.339145628673275, 'z': 0}",13.295643799138869,high,[],,,,,,
AV_005,1753463429.869576,,"{'latitude': 37.777604317395806, 'longitude': -122.41904923830882}","{'x': 19.077668167000216, 'y': 4.593613938169135, 'z': 0}",11.777313470372635,low,[],,,,,,
AV_004,1753463429.869576,,"{'latitude': 37.77815893739674, 'longitude': -122.41977972935744}","{'x': 5.607096274011203, 'y': 10.201026264980854, 'z': 0}",28.737646057689535,high,[],,,,,,
AV_003,1753463429.869576,,"{'latitude': 37.78252355487736, 'longitude': -122.41922411974475}","{'x': 8.95424684233044, 'y': 8.004767278151132, 'z': 0}",21.72844903810045,high,[],,,,,,
AV_002,1753463429.869576,,"{'latitude': 37.78327339745833, 'longitude': -122.41774411197204}","{'x': 17.097374829901813, 'y': 17.531638159703544, 'z': 0}",11.906203428998552,high,[],,,,,,
AV_001,1753463429.869576,,"{'latitude': 37.78489701090144, 'longitude': -122.428189724646}","{'x': 8.514694151372497, 'y': 13.875256396183246, 'z': 0}",27.726467242288827,high,[],,,,,,
AV_005,1753463428.869576,,"{'latitude': 37.76788006610005, 'longitude': -122.4134273999254}","{'x': 8.005360608844631, 'y': 3.034326446335114, 'z': 0}",25.73877957646322,medium,[],,,,,,
AV_004,1753463428.869576,,"{'latitude': 37.76620918456612, 'longitude': -122.42469335810415}","{'x': 0.9281479452434649, 'y': 12.24553301508971, 'z': 0}",14.77892337512821,low,[],,,,,,
AV_003,1753463428.869576,,"{'latitude': 37.77693396955972, 'longitude': -122.42489919823663}","{'x': 12.05896092596647, 'y': 6.025450228327109, 'z': 0}",28.261728889061928,low,[],,,,,,
AV_002,1753463428.869576,,"{'latitude': 37.765669047612406, 'longitude': -122.41697149836745}","{'x': 6.4275359509577505, 'y': 14.73869311502375, 'z': 0}",20.341157849016565,low,[],,,,,,
